1,2024-01-01 00:00:00,1,Yılbaşı,t,f,1,1,2024
101,2024-04-10 00:00:00,10,Ramazan Bayramı,t,f,4,3,2024
102,2024-04-11 00:00:00,11,Ramazan Bayramı,t,f,4,4,2024
114,2024-04-23 00:00:00,23,Ulusal Egemenlik ve Çocuk Bayramı,t,f,4,2,2024
168,2024-06-16 00:00:00,16,Kurban Bayramı,t,f,6,0,2024
169,2024-06-17 00:00:00,17,Kurban Bayramı,t,f,6,1,2024
170,2024-06-18 00:00:00,18,Kurban Bayramı,t,f,6,2,2024
171,2024-06-19 00:00:00,19,Kurban Bayramı,t,f,6,3,2024
197,2024-07-15 00:00:00,15,Demokrasi ve Milli Birlik Günü,t,f,7,1,2024
303,2024-10-29 00:00:00,29,Cumhuriyet Bayramı,t,f,10,2,2024
103,2024-04-12 00:00:00,12,Ramazan Bayramı,t,t,4,5,2024
2,2024-01-02 00:00:00,2,,f,f,1,2,2024
3,2024-01-03 00:00:00,3,,f,f,1,3,2024
4,2024-01-04 00:00:00,4,,f,f,1,4,2024
7,2024-01-07 00:00:00,7,,f,f,1,0,2024
8,2024-01-08 00:00:00,8,,f,f,1,1,2024
9,2024-01-09 00:00:00,9,,f,f,1,2,2024
10,2024-01-10 00:00:00,10,,f,f,1,3,2024
11,2024-01-11 00:00:00,11,,f,f,1,4,2024
14,2024-01-14 00:00:00,14,,f,f,1,0,2024
15,2024-01-15 00:00:00,15,,f,f,1,1,2024
16,2024-01-16 00:00:00,16,,f,f,1,2,2024
17,2024-01-17 00:00:00,17,,f,f,1,3,2024
18,2024-01-18 00:00:00,18,,f,f,1,4,2024
21,2024-01-21 00:00:00,21,,f,f,1,0,2024
22,2024-01-22 00:00:00,22,,f,f,1,1,2024
23,2024-01-23 00:00:00,23,,f,f,1,2,2024
24,2024-01-24 00:00:00,24,,f,f,1,3,2024
25,2024-01-25 00:00:00,25,,f,f,1,4,2024
28,2024-01-28 00:00:00,28,,f,f,1,0,2024
29,2024-01-29 00:00:00,29,,f,f,1,1,2024
30,2024-01-30 00:00:00,30,,f,f,1,2,2024
31,2024-01-31 00:00:00,31,,f,f,1,3,2024
